,Facility Identifier,GlobalID,Longitude,Latitude
181,L01-727-3,{F5B625B6-1B6F-4CA5-84AD-4CBD11F17148},-117.6801375,33.47155114
182,L01-728-2,{A59E35B2-C9EC-4E24-9DB6-266C60FCB072},-117.6822051,33.46469611
183,L01-728-3 (L01S02),{2A977DCC-7E53-4D85-94F4-061F90A75327},-117.6821413,33.46552248
184,L01-728-4,{87F2F346-2A95-465B-9529-A030D3DAEC5F},-117.6825898,33.46675048
185,L01-728-5 (L01-DP),{239C7351-6675-4B26-B959-1D8B4D6371A5},-117.6822234,33.46822415
186,L01-728-6,{997F43C3-4A2E-4C65-8310-72694AD8EF59},-117.6809003,33.46971487
187,L01-728-7 (L01S03),{9ABFED9B-C141-47FC-9A23-685026E584F9},-117.6796469,33.46920039
188,L01-728-8d,{7A1311A3-7766-418C-8495-C9A419F65188},-117.6773807,33.46066735
189,L01-728-9,{74BEFDA9-4138-4459-9D5E-A60F88FD79B2},-117.6810971,33.47077265
190,L01-730-1,{58435AF7-EDAB-42CB-9CEF-56F94E800788},-117.5638953,33.62428099
191,L01-731-1 (L08TBN2),{3FE0C68B-3BC3-480E-9B51-1965BD8A122E},-117.5660083,33.625156
192,L01-733-7,{A7A8FD25-EE3B-48B7-BEA2-B78102735AA7},-117.582439,33.615481
193,L01-733-2,{0730A3D5-1756-4C6A-B21F-59D067D3F0B4},-117.5827069,33.62048952
194,L01-733-4,{ED00D5DA-856D-4A09-BD27-B31F6E37C9A8},-117.5767258,33.62235401
195,L01-733-5,{9C18A820-40CA-4CA4-B141-8DA9C8401AC6},-117.5767415,33.62234264
196,L01-747-1,{5F6222C0-DE3F-465B-ACE2-7BCF51145055},-117.6345061,33.5089042
197,L01-747-2,{09587147-64CF-499E-B6F3-CA0AB4A5BB40},-117.6330118,33.51061235
198,L01-748-1,{A91AE436-24A4-4432-8197-13B5F01E53A6},-117.6428321,33.50404847
199,L01-748-2,{DBC981FA-992C-4171-A16D-E171B6935A16},-117.6428152,33.50406011
200,L01-749-2d,{F974B699-BEF5-4874-8BF5-762E5BABC0EC},-117.640286,33.50766038
201,L01-749-3,{F283626A-51CD-43CB-A8FF-746A67B87B2B},-117.6389212,33.50819651
202,L01-749-5,{AAAA11DA-67C2-4E13-B18E-11AAEBB0B8F5},-117.636421,33.509183
203,L01-760-1,{304B7146-FAA4-4C9E-85D8-E0AE384F357F},-117.5888937,33.5654904
204,L01-760-2,{2E56C3AD-25AB-4A1C-95D5-7D91A1E793FA},-117.5876262,33.56826629
205,L01-766-2 (L01S06),{6B1E2EC8-33C0-45FC-B9F2-95DAAD8E87F9},-117.6721518,33.48591622
206,L01-766-3,{36C58593-1762-4673-9666-5809B7EDC846},-117.6702887,33.48601029
207,L01-766-4,{48ACB168-9928-43C5-AAD8-5119F46F8CD3},-117.6675898,33.487744
208,L01-766-5,{318F725A-895C-4980-B214-CEAEA72603EF},-117.6667953,33.48754274
209,L01-766-7,{2A3C4022-F5F9-4E4D-864F-F04AB86095CF},-117.663183,33.49229639
210,L01-766-8,{F793BB7D-2AA5-48FA-8294-218E3F3B93B5},-117.6623525,33.49262805
211,L01-766-9,{897EC9EE-5CAB-4DFE-896A-03DD917D9C2F},-117.655642,33.496535
212,L02-166-1 (L02PXX),{16A76DB0-63C1-4ED7-8125-2F40FB1F2F53},-117.6196135,33.6364723
213,L02-166-2 (L02P25),{FF3574C5-E460-4A7F-94BD-7DEF35298977},-117.6178921,33.63763055
214,L02-166-3 (L02P26),{AED9AC9A-14FC-4E0A-BDF2-5D947063BA3D},-117.6137954,33.64461309
215,L02-198-1 (L02P29),{B9C33AB1-61DE-417E-AE9D-511CF2D50E19},-117.6262212,33.6089755
216,L02-204-1 (L02P45),{41CB5673-9B11-493E-B0F9-13C85AD6312E},-117.6233178,33.61913433
217,L02-246-1 (L11P01),{47F2CB46-F01F-4454-981E-098E7CCE32F4},-117.6166004,33.6104653
218,L02-344-1,{AE100243-D2E2-4C52-A74B-B024BF8A3C36},-117.6286899,33.59197631
219,L02-344-2,{E885A8CA-0AA1-47CD-A582-4DCD7E616FC7},-117.6286028,33.59189214
220,L02-359-1 (L02P43),{5281A820-F1BE-47B1-99ED-ECE4A151A02B},-117.6402344,33.57846935
221,L02-366-1 (MVL02P14),{34BE191E-FD69-4347-A83F-3FDAA41E39CE},-117.651036,33.57029493
222,L02-374-1 (L02P50),{5DF64E4A-01D2-4F6C-919E-DCBB0BDD3E55},-117.6460125,33.56985508
223,L02-374-2 (MVL02P20),{B1A00FFE-8CDF-4358-8FDF-A6FA58C9C0BA},-117.6455891,33.57276685
224,L02-396-1,{516167D7-3F5E-403F-A9CA-5AC1AB5EBF37},-117.653792,33.56347893
225,L02-401-1,{14FA5899-75CF-4C8D-8DBB-69BF4CCF982A},-117.6523552,33.56202999
226,L02-401-2 (COL02P55),{6D0EBCA6-4D3F-4C1C-894E-0641CFB65C37},-117.6507363,33.56248669
227,L02-502-1,{80AEE061-5CEE-4A9A-91C8-024626A1725A},-117.6683659,33.52458357
228,L02-502-5,{3912E472-E933-4D2C-AB01-D62EBFBB52E2},-117.6699,33.52713039
229,L02-502-6,{C5BC5588-D77D-4EF7-9CE0-E8B1DCFE0385},-117.6692307,33.53046796
230,L02-541-2,{80D3DC2F-82C1-41D7-B291-FBE03B0CC399},-117.665789,33.49815467
231,L02-541-6,{182F8328-651A-4982-91BA-8A69837B2509},-117.6661049,33.49978079
232,L02-541-7,{610DC3A7-793E-4344-A914-88E70E636144},-117.6664785,33.49992872
233,L02-541-9 (L02P02),{6FE5A355-7E45-4A1E-8A7B-8CD7AB8F0640},-117.6675175,33.50399068
234,L02-571-1,{63E80B56-44CC-47BE-96A0-96E180F51F4A},-117.6661203,33.49086976
235,L02-571-3,{3871EFB2-8754-476F-9342-3419290C4138},-117.6658002,33.49529812
236,L02-571-5 (L02TBN2),{84E0BC14-2EA7-43A4-9B95-F0347A2814D5},-117.6660482,33.49772412
237,L02-622-1 (L02P28),{A8A6C5E9-EB4C-4FB5-8B4D-A18B9FBF9A32},-117.6157749,33.63591715
238,L02-622-2 (L02P32),{5F2234C7-A979-43B9-AF39-605D9C45E5BC},-117.6024743,33.64724654
239,L02-640-1 (L11P02),{8E259E70-CE94-4F00-A10B-A23719A46C04},-117.6092377,33.61878658
240,L02-641-1,{7DFD67EB-AD81-432B-9BA4-25696CAD78C5},-117.5948862,33.63111659
241,L02-641-2,{940E7A8B-73AA-47EA-96AA-2A8B9F4D5926},-117.5948529,33.6311147
242,L03-074-1 (L03B01),{49BB3F7E-1B73-4CC3-93B9-49EF1F708BBE},-117.6388447,33.63832178
243,L03-074-2,{6A5E6BA4-3561-44F0-907D-3D9775BDE62E},-117.6417634,33.63947149
244,L03-141-1,{14CC37CD-8D1D-4824-B51F-D5A645DF23CC},-117.6343922,33.65655719
245,L03-141-2,{F5FE5213-7964-43D8-9FCF-D95DAD36D8E5},-117.6343942,33.6565667
246,L03-141-3,{E9C93353-55FF-4789-80D4-68FBA02BD5E3},-117.6343784,33.65655533
247,L03-142-1 (L03P24),{82E345FE-8901-4935-B75E-BDD689E85A6F},-117.6208048,33.66841886
248,L03-172-2,{F5690724-C245-4E1E-8E50-C527FA115971},-117.6388453,33.65145815
249,L03-172-3,{B1EF7D05-C4F9-490F-9BA9-7AFF1949A39B},-117.6375105,33.65111943
250,L03-214-2 (L03P18),{694200E0-F61E-493C-B4FD-35F10C96F460},-117.6423151,33.6237248
251,L03-240-1,{B36B0F25-9FB6-4A77-9FE1-F916D2BDB697},-117.637077,33.61519068
252,L03-241-3,{8ED5573E-DFDE-4B76-A102-B5B1CF23353B},-117.6479066,33.60617913
253,L03-241-4 (L03P14),{47F716AD-32FA-4E10-9846-98471CD662B4},-117.6441123,33.60923197
254,L03-316-1,{085CE6CF-F6A5-4D42-8E70-84B8F03CB7C2},-117.6596681,33.59093498
255,L03-316-2,{3F70559C-0FAD-4D97-9983-A4BA1217498F},-117.6594575,33.59093104
256,L03-316-3 (L03P12),{ADF910F2-1925-4DDA-B329-3228C543E1CB},-117.6559023,33.59602196
257,L03-316-4 (L03P12),{013DEF0D-A524-413F-A01F-3700B35EEACE},-117.6560801,33.59616259
258,L03-418-1,{8087A7D1-E729-48B8-B8F0-6F542F01E3FD},-117.6744682,33.54734682
259,L03-418-2,{06560A1C-A452-4CBC-9B61-5BD085C0EC0B},-117.6759911,33.55409343
260,L03-418-3,{22376DF3-FDA8-47F9-A88E-F80545512E84},-117.6759611,33.55476752
261,L03-418-8,{4224C49D-E7E1-4F5C-9724-113E11C9E9A8},-117.6763089,33.5575697
262,L03-455-2,{7E6762BC-9D48-4526-9D88-1BEE27C84D0A},-117.6756802,33.53743191
