JURISDICTI3,QJur_US,Sample Type,Parameter,ResultJuris,Units,LoadQUns,LoadsPoundsQUns
LAGUNA BEACH,1879478.3242043818,Total,Chlordane-alpha,1,ng/L,1879478.3242043818,1.1733190138016244e-4
LAGUNA BEACH,1879478.3242043818,Total,Chlordane-gamma,1,ng/L,1879478.3242043818,1.1733190138016244e-4
LAGUNA BEACH,1879478.3242043818,Total,Chlorpyrifos,0.5,ng/L,939739.1621021909,5.866595069008122e-5
LAGUNA BEACH,1879478.3242043818,Total,Chrysene,2.5,ng/L,4698695.810510955,2.9332975345040607e-4
LAGUNA BEACH,1879478.3242043818,Total,Demeton,1,ng/L,1879478.3242043818,1.1733190138016244e-4
LAGUNA BEACH,1879478.3242043818,Total,Diazinon,0.5,ng/L,939739.1621021909,5.866595069008122e-5
LAGUNA BEACH,1879478.3242043818,Total,"Dibenz[a,h]anthracene",2.5,ng/L,4698695.810510955,2.9332975345040607e-4
LAGUNA BEACH,1879478.3242043818,Total,Dichlorvos,3,ng/L,5638434.972613146,3.519957041404873e-4
LAGUNA BEACH,1879478.3242043818,Total,Dieldrin,1,ng/L,1879478.3242043818,1.1733190138016244e-4
LAGUNA BEACH,1879478.3242043818,Total,Dimethoate,5,ng/L,9397391.62102191,5.866595069008121e-4
LAGUNA BEACH,1879478.3242043818,Total,Disulfoton,1,ng/L,1879478.3242043818,1.1733190138016244e-4
LAGUNA BEACH,1879478.3242043818,Total,Endosulfan-I,2.5,ng/L,4698695.810510955,2.9332975345040607e-4
LAGUNA BEACH,1879478.3242043818,Total,Endosulfan-II,2.5,ng/L,4698695.810510955,2.9332975345040607e-4
LAGUNA BEACH,1879478.3242043818,Total,Endosulfan Sulfate,2.5,ng/L,4698695.810510955,2.9332975345040607e-4
LAGUNA BEACH,1879478.3242043818,Total,Endrin,2.5,ng/L,4698695.810510955,2.9332975345040607e-4
LAGUNA BEACH,1879478.3242043818,Total,Endrin Aldehyde,2.5,ng/L,4698695.810510955,2.9332975345040607e-4
LAGUNA BEACH,1879478.3242043818,Total,Ethoprop (Ethoprofos),1,ng/L,1879478.3242043818,1.1733190138016244e-4
LAGUNA BEACH,1879478.3242043818,Total,Fenchlorphos (Ronnel),2,ng/L,3758956.6484087636,2.3466380276032487e-4
LAGUNA BEACH,1879478.3242043818,Total,Fensulfothion,1,ng/L,1879478.3242043818,1.1733190138016244e-4
LAGUNA BEACH,1879478.3242043818,Total,Fenthion,2,ng/L,3758956.6484087636,2.3466380276032487e-4
LAGUNA BEACH,1879478.3242043818,Total,Fluoranthene,2.5,ng/L,4698695.810510955,2.9332975345040607e-4
LAGUNA BEACH,1879478.3242043818,Total,Fluorene,2.5,ng/L,4698695.810510955,2.9332975345040607e-4
LAGUNA BEACH,1879478.3242043818,Total,Heptachlor,2.5,ng/L,4698695.810510955,2.9332975345040607e-4
LAGUNA BEACH,1879478.3242043818,Total,Heptachlor Epoxide,2.5,ng/L,4698695.810510955,2.9332975345040607e-4
LAGUNA BEACH,1879478.3242043818,Total,"Indeno[1,2,3-cd]pyrene",2.5,ng/L,4698695.810510955,2.9332975345040607e-4
LAGUNA BEACH,1879478.3242043818,Total,Malathion,2.5,ng/L,4698695.810510955,2.9332975345040607e-4
LAGUNA BEACH,1879478.3242043818,Total,Merphos,1,ng/L,1879478.3242043818,1.1733190138016244e-4
LAGUNA BEACH,1879478.3242043818,Total,Methoxychlor,2.5,ng/L,4698695.810510955,2.9332975345040607e-4
LAGUNA BEACH,1879478.3242043818,Total,Methyl Parathion,1,ng/L,1879478.3242043818,1.1733190138016244e-4
LAGUNA BEACH,1879478.3242043818,Total,Mevinphos (Phosdrin),5,ng/L,9397391.62102191,5.866595069008121e-4
LAGUNA BEACH,1879478.3242043818,Total,Mirex,2.5,ng/L,4698695.810510955,2.9332975345040607e-4
LAGUNA BEACH,1879478.3242043818,Total,Phenanthrene,6.43,ng/L,12085045.624634175,7.544441258744445e-4
LAGUNA BEACH,1879478.3242043818,Total,Phorate,5,ng/L,9397391.62102191,5.866595069008121e-4
LAGUNA BEACH,1879478.3242043818,Total,Pyrene,2.5,ng/L,4698695.810510955,2.9332975345040607e-4
LAGUNA BEACH,1879478.3242043818,Total,Tetrachlorvinphos (Stirofos),2,ng/L,3758956.6484087636,2.3466380276032487e-4
LAGUNA BEACH,1879478.3242043818,Total,Tokuthion (Prothiofos),3,ng/L,5638434.972613146,3.519957041404873e-4
LAGUNA BEACH,1879478.3242043818,Total,Toxaphene,12.5,ng/L,23493479.05255477,0.0014666487672520304
LAGUNA BEACH,1879478.3242043818,Total,trans-Nonachlor,1,ng/L,1879478.3242043818,1.1733190138016244e-4
LAGUNA BEACH,1879478.3242043818,Total,Trichloronate,1,ng/L,1879478.3242043818,1.1733190138016244e-4
LAGUNA BEACH,1879478.3242043818,Total,"Arsenic, Total",1.37,ug/L,2574885.304160003,0.16074470489082254
LAGUNA BEACH,1879478.3242043818,Dissolved,"Arsenic, Total",1.37,ug/L,2574885.304160003,0.16074470489082254
LAGUNA BEACH,1879478.3242043818,Total,"Cadmium, Total",0.1,ug/L,187947.83242043818,0.011733190138016244
LAGUNA BEACH,1879478.3242043818,Dissolved,"Cadmium, Total",0.1,ug/L,187947.83242043818,0.011733190138016244
LAGUNA BEACH,1879478.3242043818,Total,"Calcium, Total",303.5,ug/L,570421671.3960298,35.6102320688793
LAGUNA BEACH,1879478.3242043818,Total,Chromium 6+,0.0494,ug/L,92846.22921569645,0.005796195928180024
LAGUNA BEACH,1879478.3242043818,Dissolved,Chromium 6+,0.0494,ug/L,92846.22921569645,0.005796195928180024
LAGUNA BEACH,1879478.3242043818,Total,"Chromium, Total",0.134,ug/L,251850.09544338717,0.015722474784941768
