FACILITYID,AVGDISCHARGE,JURISDICTI,SAMPLEDRY,PERSISTENTFLOW,PRIORITY
L01-760-1,0.015615,ORANGE CO,NA,Yes,2
L01-760-2,0.072438,ORANGE CO,NA,Yes,2
L01-391-1,0,ORANGE CO,NA,Yes,1
L01-391-3,0.012479,ORANGE CO,NA,Yes,1
L01-340-1,0.052773,ORANGE CO,1,Yes,2
L01-733-2,0.113928,ORANGE CO,NA,Yes,2
L02-374-2 (MVL02P20),0.008624,ORANGE CO,NA,Yes,1
L02-401-1,0,ORANGE CO,NA,Yes,1
J01-9273-1,0.00103,LAGUNA WOODS,1,Yes,1
SC07-079-4,0.00694,SAN CLEMENTE,NA,Yes,1
M02-061-6,0.010635,SAN CLEMENTE,NA,Yes,2
M01-003-1,0,ORANGE CO,NA,Unknown,1
M01-003-2,0,ORANGE CO,NA,Unknown,1
M01-002-1,0,ORANGE CO,NA,Unknown,1
M01-050-4 (M01@CGV),0.05849,SAN CLEMENTE,NA,Yes,2
DP06-12106-1,0.227,DANA POINT,NA,Yes,1
L01-766-8,0,SAN JUAN CAPISTRANO,NA,Unknown,1
L01-747-1,0.045,SAN JUAN CAPISTRANO,NA,Yes,1
L01-747-2,0.024409,SAN JUAN CAPISTRANO,NA,Yes,1
L05-489-3,0.803705,ORANGE CO,1,Yes,2
L05-489-4,0.028916,ORANGE CO,NA,Yes,2
L05-489-7,0.093024,ORANGE CO,NA,Yes,2
L05-049-2,0.293041,ORANGE CO,NA,Yes,1
L01-372-1,0.007224,ORANGE CO,NA,Yes,1
L01-733-5,0,ORANGE CO,NA,Unknown,1
L01-730-1,0.023405,RANCHO SANTA MARGARITA,NA,Yes,1
L01-218-1,NA,RANCHO SANTA MARGARITA,NA,Yes,1
L01-218-2,0.021185,RANCHO SANTA MARGARITA,NA,Yes,2
L01-218-3,NA,RANCHO SANTA MARGARITA,NA,Yes,1
L01-218-4,0.02282,RANCHO SANTA MARGARITA,NA,Yes,2
L02-641-2,0.384827,RANCHO SANTA MARGARITA,1,Yes,2
L03-455-5,0.006815,LAGUNA NIGUEL,NA,Unknown,2
L03-708-9,0.045486,LAGUNA NIGUEL,NA,Yes,2
L03-708-11 (L03P05),0.133617,LAGUNA NIGUEL,NA,Yes,2
J01-9033-1,0.002291,LAKE FOREST,NA,Yes,1
J01-10012-3,0,MISSION VIEJO,NA,Unknown,1
L03-241-3,0.418065,MISSION VIEJO,NA,Unknown,1
LC01-11446-1,0.017,LAGUNA BEACH,NA,Yes,1
I01-11010-1,0.03819,LAGUNA BEACH,1,Yes,2
I01-11015-3,0,LAGUNA BEACH,NA,Unknown,1
I01-11023-1,0.002155,LAGUNA BEACH,1,Yes,2
I01-11023-2,2.04e-4,LAGUNA BEACH,NA,Unknown,1
I01-11023-3,0,LAGUNA BEACH,NA,Unknown,1
I01-11023-4,0,LAGUNA BEACH,NA,Unknown,1
I01-11023-5,0,LAGUNA BEACH,NA,Unknown,1
I01-11059-1,0,LAGUNA BEACH,NA,Unknown,1
I01-11059-2,0,LAGUNA BEACH,NA,Unknown,1
I01-11059-3,0,LAGUNA BEACH,NA,Unknown,1
I01-11065-1,0,LAGUNA BEACH,NA,Unknown,1
I01-11093-1,0,LAGUNA BEACH,NA,Unknown,1
I01-11077-1,0,LAGUNA BEACH,NA,Unknown,1
I01-11343-1,0,LAGUNA WOODS,1,Yes,1
LC05-11017-1,0,LAGUNA BEACH,NA,Unknown,1
DP04-12015-1,0.010065,LAGUNA BEACH,NA,Unknown,1
K01-12155-5,0.057377,LAGUNA NIGUEL,NA,Unknown,1
K01-12036-10,0.005224,LAGUNA NIGUEL,NA,Unknown,2
J03-9234-5,0.013475000000000001,LAGUNA NIGUEL,NA,Yes,1
J04-9249-1,1.377561,LAGUNA NIGUEL,NA,Yes,2
L03-316-4,0.023064,MISSION VIEJO,NA,Yes,2
L03-316-2,0.013082,MISSION VIEJO,NA,Yes,2
J01-9082-3,0.005369,ALISO VIEJO,NA,Unknown,1
J01-9082-4,0.020881,ALISO VIEJO,NA,Yes,2
L02-502-1,0.026428,SAN JUAN CAPISTRANO,NA,Unknown,1
