FacilityID,QInscfsAdj,QInsCFAdj,Q_DailyavgCF,AVGDISCHARGE,JURISDICTI,SAMPLEDRY,PERSISTENTFLOW
J07-9110-1,NA,NA,59.616,0.004715,MISSION VIEJO,NA,Yes
J07-9110-2,NA,NA,79.9011,0.003966,MISSION VIEJO,NA,Yes
J07-9110-3,NA,NA,29.808,0.010104,MISSION VIEJO,NA,Unknown
K01-12032-2 (K01P11),NA,NA,1438.1763839999999,0.061363,LAGUNA NIGUEL,NA,Yes
K01-12036-1,NA,NA,547.364304,0.021221,LAGUNA NIGUEL,NA,Yes
K01-12036-10,NA,NA,29.808,0.005224,LAGUNA NIGUEL,NA,Unknown
K01-12058-1 (K01P08),NA,NA,953.856,0.205335,LAGUNA NIGUEL,NA,Yes
K01-12058-2 (K01P09),NA,NA,2682.72,0.130128,LAGUNA NIGUEL,NA,Yes
K01-12062-1,NA,NA,7321.262112,0.122807,LAGUNA NIGUEL,NA,Yes
K01-12126-1 (K01S01),NA,NA,27708.32448,0.477926,DANA POINT,1,Yes
K01-12138-1 (K01TBN1),NA,NA,268.272,0.0344,LAGUNA NIGUEL,NA,Yes
K01-12155-1,NA,NA,0,4.4e-4,LAGUNA NIGUEL,NA,Unknown
K01-12159-2,NA,NA,5246.207999999999,0.154127,DANA POINT,1,Yes
K01-12159-3,NA,NA,417.312,0.021493,DANA POINT,1,Yes
K01-12177-1 (K01P07),NA,NA,4419.036,0.246265,LAGUNA NIGUEL,1,Yes
L01-218-4,NA,NA,1475.4959999999999,0.02282,RANCHO SANTA MARGARITA,NA,Yes
L01-223-1 (L08TBN1),NA,NA,24.830063999999993,0.049092,RANCHO SANTA MARGARITA,NA,Yes
L01-303-4,NA,NA,1102.8959999999997,0.020775,ORANGE CO,NA,Yes
L01-335-1,NA,NA,192.686364,0.01107,ORANGE CO,NA,Yes
L01-340-1,NA,NA,462.50837999999993,0.052773,ORANGE CO,1,Yes
L01-391-3,NA,NA,1242.0099359999997,0.012479,ORANGE CO,NA,Yes
L01-404-1,NA,NA,3268.3577759999994,0.08469,ORANGE CO,1,Yes
L01-404-2,NA,NA,1251.936,0.06365,ORANGE CO,NA,Yes
L01-414-2,NA,NA,0,0,ORANGE CO,NA,Unknown
L01-414-3,NA,NA,894.2399999999998,0.232035,ORANGE CO,NA,Yes
L01-458-1,NA,NA,0,6.75e-4,ORANGE CO,NA,Unknown
L01-471-1,NA,NA,0,0.001375,ORANGE CO,NA,Unknown
L01-494-1,NA,NA,5350.535999999999,0.095255,ORANGE CO,NA,Yes
L01-514-1,NA,NA,286.1568,0.019417,ORANGE CO,NA,Yes
L01-517-6,NA,NA,1102.8959999999997,0.02934,ORANGE CO,NA,Yes
L01-517-7,NA,NA,0,0.001777,ORANGE CO,NA,Unknown
L01-556-1,NA,NA,685.2263039999999,0.004752,SAN JUAN CAPISTRANO,NA,Yes
L01-601-1,NA,NA,0,0,SAN JUAN CAPISTRANO,NA,Unknown
L01-618-4,NA,NA,0,0,SAN JUAN CAPISTRANO,NA,Unknown
L01-618-5 (L01S09),NA,NA,244.48521599999998,0.018739,SAN JUAN CAPISTRANO,NA,Yes
L01-724-1 (L01S01),NA,NA,4233.928319999999,0.083773,SAN JUAN CAPISTRANO,1,Yes
L01-724-4 (L01P03),NA,NA,5156.0388,0.124156,SAN JUAN CAPISTRANO,1,Yes
L01-726-3,NA,NA,0,0,DANA POINT,NA,Unknown
L01-726-5,NA,NA,372.5999999999999,0.01097,DANA POINT,1,Yes
L01-726-6,NA,NA,0,0,DANA POINT,NA,Unknown
L01-726-7,NA,NA,0,0,DANA POINT,NA,Unknown
L01-726-8,NA,NA,343.92470399999996,4.8e-4,SAN JUAN CAPISTRANO,NA,Unknown
L01-726-9,NA,NA,0,0,SAN JUAN CAPISTRANO,NA,Unknown
L01-727-1 (L01S04),NA,NA,0,0.065621,DANA POINT,NA,Unknown
L01-727-2,NA,NA,0,0,DANA POINT,NA,Unknown
L01-728-4,NA,NA,625.968,0.007,DANA POINT,NA,Unknown
L01-728-5 (L01-DP),NA,NA,476.928,0.012099,DANA POINT,1,Yes
L01-728-6,NA,NA,0,0,DANA POINT,NA,Unknown
L01-728-7 (L01S03),NA,NA,1395.0144,0.153355,DANA POINT,NA,Yes
L01-728-8d,NA,NA,0,0,DANA POINT,NA,Unknown
L01-728-9,NA,NA,0,0,DANA POINT,NA,Unknown
L01-730-1,NA,NA,357.69599999999997,0.023405,RANCHO SANTA MARGARITA,NA,Yes
L01-731-1 (L08TBN2),NA,NA,52672.34563199999,0.356639,RANCHO SANTA MARGARITA,1,Yes
L01-733-4,NA,NA,0,0,ORANGE CO,NA,Unknown
L01-733-5,NA,NA,0,0,ORANGE CO,NA,Unknown
L01-733-7,NA,NA,3505.4207999999994,0.0588,ORANGE CO,NA,Unknown
L01-747-2,NA,NA,1876.4583119999998,0.024409,SAN JUAN CAPISTRANO,NA,Yes
L01-748-1,NA,NA,0,0,SAN JUAN CAPISTRANO,NA,Unknown
L01-749-3,NA,NA,0,0,SAN JUAN CAPISTRANO,NA,Unknown
L01-749-5,NA,NA,0,0.008383,SAN JUAN CAPISTRANO,NA,Unknown
L01-760-1,NA,NA,365.148,0.015615,ORANGE CO,NA,Yes
L01-766-2 (L01S06),NA,NA,7397.048952000001,0.179334,SAN JUAN CAPISTRANO,NA,Yes
L01-766-3,NA,NA,178.84799999999998,0.00798,SAN JUAN CAPISTRANO,NA,Unknown
L01-766-4,NA,NA,0,0.001979,SAN JUAN CAPISTRANO,NA,Unknown
L01-766-5,NA,NA,0,0,SAN JUAN CAPISTRANO,NA,Unknown
L01-766-8,NA,NA,0,0,SAN JUAN CAPISTRANO,NA,Unknown
L02-166-1 (L02PXX),NA,NA,3343.265279999999,0.041916,RANCHO SANTA MARGARITA,NA,Yes
L02-166-2 (L02P25),NA,NA,3795.668748,0.243318,RANCHO SANTA MARGARITA,NA,Yes
L02-166-3 (L02P26),NA,NA,1338.6623759999998,0.176934,RANCHO SANTA MARGARITA,1,Yes
L02-204-1 (L02P45),NA,NA,632.317104,0.021742,RANCHO SANTA MARGARITA,NA,Yes
L02-246-1 (L11P01),NA,NA,4135.859999999999,0.046996,RANCHO SANTA MARGARITA,1,Yes
L02-344-2,NA,NA,3576.959999999999,0.408144,ORANGE CO,NA,Yes
L02-359-1 (L02P43),NA,NA,268.272,0.010162,ORANGE CO,NA,Yes
L02-366-1 (MVL02P14),NA,NA,875.6099999999999,0.023387,MISSION VIEJO,NA,Yes
L02-502-1,NA,NA,0,0.026428,SAN JUAN CAPISTRANO,NA,Unknown
L02-502-5,NA,NA,0,0,SAN JUAN CAPISTRANO,NA,Unknown
L02-541-2,NA,NA,0,0,SAN JUAN CAPISTRANO,NA,Unknown
L02-541-7,NA,NA,0,0,SAN JUAN CAPISTRANO,NA,Unknown
L02-541-9 (L02P02),NA,NA,3010.421699999999,0.048641,SAN JUAN CAPISTRANO,NA,Yes
L02-641-2,NA,NA,11461.176,0.384827,RANCHO SANTA MARGARITA,1,Yes
L03-142-1 (L03P24),NA,NA,282.006036,0.018174,RANCHO SANTA MARGARITA,NA,Yes
L03-214-2 (L03P18),NA,NA,6319.295999999999,0.566083,MISSION VIEJO,1,Yes
