JURISDICTI3,Sample Type,Parameter,ResultJuris,Units
LAGUNA NIGUEL,Total,Dichlorvos,3,ng/L
ALISO VIEJO,Total,Dichlorvos,3,ng/L
RANCHO SANTA MARGARITA,Total,Dichlorvos,3,ng/L
ORANGE CO,Total,Dichlorvos,3,ng/L
LAGUNA HILLS,Total,Dichlorvos,3,ng/L
LAKE FOREST,Total,Dichlorvos,3,ng/L
LAGUNA BEACH,Total,Dichlorvos,3,ng/L
SAN JUAN CAPISTRANO,Total,Dichlorvos,3,ng/L
DANA POINT,Total,Dichlorvos,3,ng/L
SAN CLEMENTE,Total,Dichlorvos,3,ng/L
MISSION VIEJO,Total,Dieldrin,1,ng/L
LAGUNA WOODS,Total,Dieldrin,1,ng/L
