Station,date,Sample Type,Field Specific Conductivity,Date,Parameter,Units,Qualifier,Result
L02-374-1 (L02P50),9/6/2022,Total,3644,2022-09-06,d10-Phenanthrene,ng/L,NA,82
L05-503-1,9/6/2022,Total,4029.2,2022-09-06,d10-Phenanthrene,ng/L,NA,81
L01-749-2,9/6/2022,Total,8458,2022-09-06,d10-Phenanthrene,ng/L,NA,76
L01-724-4 (L01P03),9/6/2022,Total,5109,2022-09-06,d10-Phenanthrene,ng/L,NA,79
L01-724-1 (L01S01),9/6/2022,Total,6362,2022-09-06,d10-Phenanthrene,ng/L,NA,74
L01-726-5,9/7/2022,Total,1165,2022-09-07,d10-Phenanthrene,ng/L,NA,81
L01-728-5 (L01-DP),9/7/2022,Total,1327,2022-09-07,d10-Phenanthrene,ng/L,NA,88
K01-12126-1 (K01S01),9/7/2022,Total,5061,2022-09-07,d10-Phenanthrene,ng/L,NA,77
K01-12159-2,9/7/2022,Total,4869,2022-09-07,d10-Phenanthrene,ng/L,NA,88
K01-12159-3,9/7/2022,Total,3633,2022-09-07,d10-Phenanthrene,ng/L,NA,77
I01-11010-1,9/7/2022,Total,6067.7,2022-09-07,d10-Phenanthrene,ng/L,NA,85
J01-9131-1 (J01P28),9/8/2022,Total,2648,2022-09-08,d10-Phenanthrene,ng/L,NA,119
J01-9992-1 (J01P27),8/9/2022,Total,3208,2022-08-09,d10-Phenanthrene,ng/L,NA,121
J01-9007-1 (J02P05),9/8/2022,Total,1929,2022-09-08,d10-Phenanthrene,ng/L,NA,117
M01-042-1 (M01S01),9/8/2022,Total,26921,2022-09-08,d10-Phenanthrene,ng/L,NA,109
M02-032-1,9/8/2022,Total,4246,2022-09-08,d10-Phenanthrene,ng/L,NA,123
SC1-2,9/8/2022,Total,11188,2022-09-08,d10-Phenanthrene,ng/L,NA,116
M02-085-1 (M02P06),9/8/2022,Total,9377,2022-09-08,d10-Phenanthrene,ng/L,NA,123
M02-085-2,9/8/2022,Total,3170,2022-09-08,d10-Phenanthrene,ng/L,NA,123
L04-266-5,6/14/2022,Total,3412,2022-06-14,d12-Chrysene,ng/L,NA,95
I01-11343-2 (I02P18),6/14/2022,Total,2417,2022-06-14,d12-Chrysene,ng/L,NA,90
