Station,Sample Type,Parameter,Qualifier,ResultAvg,Units
M01-042-1 (M01S01),Total,PCB112,NA,103,ng/L
M02-032-1,Total,PCB112,NA,81.5,ng/L
SC1-2,Total,PCB112,NA,89,ng/L
M02-085-1 (M02P06),Total,PCB112,NA,94,ng/L
M02-085-2,Total,PCB112,NA,90.5,ng/L
L01-726-5,Total,PCB112,NA,75,ng/L
L04-266-5,Total,PCB198,NA,85.5,ng/L
I01-11343-2 (I02P18),Total,PCB198,NA,75,ng/L
L03-418-8,Total,PCB198,NA,84.5,ng/L
K01-12177-1 (K01P07),Total,PCB198,NA,102.5,ng/L
J03-9221-1 (J03P02),Total,PCB198,NA,101,ng/L
J01-9224-1 (J01P24),Total,PCB198,NA,100.5,ng/L
J01-9224-2 (J01P25),Total,PCB198,NA,78.5,ng/L
L03-662-3 (L03P16),Total,PCB198,NA,77,ng/L
L03-214-2 (L03P18),Total,PCB198,NA,83,ng/L
L03-316-3 (L03P12),Total,PCB198,NA,63.5,ng/L
J01-9992-1 (J01P27),Total,PCB198,NA,111.5,ng/L
J01-9131-1 (J01P28),Total,PCB198,NA,102.5,ng/L
J01-9007-1 (J02P05),Total,PCB198,NA,107.5,ng/L
J06-10011-1 (J06P01),Total,PCB198,NA,91,ng/L
J06-9079-1 (J06P03),Total,PCB198,NA,84,ng/L
J01-9082-2,Total,PCB198,NA,80.5,ng/L
I01-11010-1,Total,PCB198,NA,84,ng/L
I00-11468-1,Total,PCB198,NA,99,ng/L
J01-10004-1 (J01P01),Total,PCB198,NA,125.5,ng/L
L01-749-2,Total,PCB198,NA,97.5,ng/L
L05-503-1,Total,PCB198,NA,88,ng/L
L01-724-4 (L01P03),Total,PCB198,NA,96,ng/L
L01-724-1 (L01S01),Total,PCB198,NA,49.5,ng/L
L01-728-5 (L01-DP),Total,PCB198,NA,91,ng/L
K01-12126-1 (K01S01),Total,PCB198,NA,86,ng/L
K01-12159-2,Total,PCB198,NA,87,ng/L
K01-12159-3,Total,PCB198,NA,79,ng/L
L05-489-3,Total,PCB198,NA,46.5,ng/L
L05-049-1,Total,PCB198,NA,66,ng/L
L02-374-1 (L02P50),Total,PCB198,NA,72.5,ng/L
L01-404-1,Total,PCB198,NA,82,ng/L
L01-340-1,Total,PCB198,NA,93.5,ng/L
L02-246-1 (L11P01),Total,PCB198,NA,120,ng/L
L02-641-1,Total,PCB198,NA,133.5,ng/L
L02-641-2,Total,PCB198,NA,117.5,ng/L
L01-731-1 (L08TBN2),Total,PCB198,NA,136.5,ng/L
L02-166-3 (L02P26),Total,PCB198,NA,105,ng/L
L04-672-1,Total,PCB198,NA,85,ng/L
M01-042-1 (M01S01),Total,PCB198,NA,98.5,ng/L
M02-032-1,Total,PCB198,NA,100,ng/L
SC1-2,Total,PCB198,NA,97.5,ng/L
M02-085-1 (M02P06),Total,PCB198,NA,99.5,ng/L
M02-085-2,Total,PCB198,NA,95.5,ng/L
L01-726-5,Total,PCB198,NA,75,ng/L
L04-266-5,Total,TCMX,NA,60.5,ng/L
I01-11343-2 (I02P18),Total,TCMX,NA,53.5,ng/L
L03-418-8,Total,TCMX,NA,54.5,ng/L
K01-12177-1 (K01P07),Total,TCMX,NA,62.5,ng/L
J03-9221-1 (J03P02),Total,TCMX,NA,70.5,ng/L
J01-9224-1 (J01P24),Total,TCMX,NA,72.5,ng/L
J01-9224-2 (J01P25),Total,TCMX,NA,57.5,ng/L
L03-662-3 (L03P16),Total,TCMX,NA,58,ng/L
L03-214-2 (L03P18),Total,TCMX,NA,61.5,ng/L
L03-316-3 (L03P12),Total,TCMX,NA,53.5,ng/L
J01-9992-1 (J01P27),Total,TCMX,NA,57.5,ng/L
J01-9131-1 (J01P28),Total,TCMX,NA,45,ng/L
J01-9007-1 (J02P05),Total,TCMX,NA,67.5,ng/L
J06-10011-1 (J06P01),Total,TCMX,NA,79.5,ng/L
J06-9079-1 (J06P03),Total,TCMX,NA,67.5,ng/L
J01-9082-2,Total,TCMX,NA,73,ng/L
I01-11010-1,Total,TCMX,NA,63.5,ng/L
I00-11468-1,Total,TCMX,NA,69,ng/L
J01-10004-1 (J01P01),Total,TCMX,NA,63.5,ng/L
L01-749-2,Total,TCMX,NA,74,ng/L
L05-503-1,Total,TCMX,NA,74.5,ng/L
L01-724-4 (L01P03),Total,TCMX,NA,66,ng/L
L01-724-1 (L01S01),Total,TCMX,NA,26,ng/L
L01-728-5 (L01-DP),Total,TCMX,NA,95,ng/L
K01-12126-1 (K01S01),Total,TCMX,NA,59.5,ng/L
K01-12159-2,Total,TCMX,NA,60.5,ng/L
K01-12159-3,Total,TCMX,NA,72.5,ng/L
L05-489-3,Total,TCMX,NA,31.5,ng/L
L05-049-1,Total,TCMX,NA,51.5,ng/L
L02-374-1 (L02P50),Total,TCMX,NA,55,ng/L
L01-404-1,Total,TCMX,NA,51,ng/L
L01-340-1,Total,TCMX,NA,63.5,ng/L
L02-246-1 (L11P01),Total,TCMX,NA,54.5,ng/L
L02-641-1,Total,TCMX,NA,52.5,ng/L
L02-641-2,Total,TCMX,NA,44.5,ng/L
L01-731-1 (L08TBN2),Total,TCMX,NA,40,ng/L
L02-166-3 (L02P26),Total,TCMX,NA,46.5,ng/L
L04-672-1,Total,TCMX,NA,66.5,ng/L
M01-042-1 (M01S01),Total,TCMX,NA,61,ng/L
M02-032-1,Total,TCMX,NA,42.5,ng/L
SC1-2,Total,TCMX,NA,48.5,ng/L
M02-085-1 (M02P06),Total,TCMX,NA,66,ng/L
M02-085-2,Total,TCMX,NA,48.5,ng/L
L01-726-5,Total,TCMX,NA,65,ng/L
L04-266-5,Total,"2,4'-DDD",<,1,ng/L
I01-11343-2 (I02P18),Total,"2,4'-DDD",<,1,ng/L
L03-418-8,Total,"2,4'-DDD",<,1,ng/L
K01-12177-1 (K01P07),Total,"2,4'-DDD",<,1,ng/L
J03-9221-1 (J03P02),Total,"2,4'-DDD",<,1,ng/L
J01-9224-1 (J01P24),Total,"2,4'-DDD",<,1,ng/L
J01-9224-2 (J01P25),Total,"2,4'-DDD",<,1,ng/L
L03-662-3 (L03P16),Total,"2,4'-DDD",<,1,ng/L
L03-214-2 (L03P18),Total,"2,4'-DDD",<,1,ng/L
L03-316-3 (L03P12),Total,"2,4'-DDD",<,1,ng/L
J01-9992-1 (J01P27),Total,"2,4'-DDD",<,1,ng/L
J01-9131-1 (J01P28),Total,"2,4'-DDD",<,1,ng/L
J01-9007-1 (J02P05),Total,"2,4'-DDD",<,1,ng/L
J06-10011-1 (J06P01),Total,"2,4'-DDD",<,1,ng/L
J06-9079-1 (J06P03),Total,"2,4'-DDD",<,1,ng/L
J01-9082-2,Total,"2,4'-DDD",<,1,ng/L
I01-11010-1,Total,"2,4'-DDD",<,1,ng/L
I00-11468-1,Total,"2,4'-DDD",<,1,ng/L
J01-10004-1 (J01P01),Total,"2,4'-DDD",<,1,ng/L
L01-749-2,Total,"2,4'-DDD",<,1,ng/L
L05-503-1,Total,"2,4'-DDD",<,1,ng/L
L01-724-4 (L01P03),Total,"2,4'-DDD",<,1,ng/L
L01-724-1 (L01S01),Total,"2,4'-DDD",<,1,ng/L
L01-728-5 (L01-DP),Total,"2,4'-DDD",<,1,ng/L
K01-12126-1 (K01S01),Total,"2,4'-DDD",<,1,ng/L
K01-12159-2,Total,"2,4'-DDD",<,1,ng/L
K01-12159-3,Total,"2,4'-DDD",<,1,ng/L
L05-489-3,Total,"2,4'-DDD",<,1,ng/L
L05-049-1,Total,"2,4'-DDD",<,1,ng/L
L02-374-1 (L02P50),Total,"2,4'-DDD",<,1,ng/L
L01-404-1,Total,"2,4'-DDD",<,1,ng/L
L01-340-1,Total,"2,4'-DDD",<,1,ng/L
L02-246-1 (L11P01),Total,"2,4'-DDD",<,1,ng/L
L02-641-1,Total,"2,4'-DDD",<,1,ng/L
L02-641-2,Total,"2,4'-DDD",<,1,ng/L
L01-731-1 (L08TBN2),Total,"2,4'-DDD",<,1,ng/L
L02-166-3 (L02P26),Total,"2,4'-DDD",<,1,ng/L
L04-672-1,Total,"2,4'-DDD",<,1,ng/L
M01-042-1 (M01S01),Total,"2,4'-DDD",<,1,ng/L
M02-032-1,Total,"2,4'-DDD",<,1,ng/L
SC1-2,Total,"2,4'-DDD",<,1,ng/L
M02-085-1 (M02P06),Total,"2,4'-DDD",<,1,ng/L
M02-085-2,Total,"2,4'-DDD",<,1,ng/L
L01-726-5,Total,"2,4'-DDD",<,1,ng/L
L04-266-5,Total,"2,4'-DDE",<,1,ng/L
I01-11343-2 (I02P18),Total,"2,4'-DDE",<,1,ng/L
L03-418-8,Total,"2,4'-DDE",<,1,ng/L
K01-12177-1 (K01P07),Total,"2,4'-DDE",<,1,ng/L
J03-9221-1 (J03P02),Total,"2,4'-DDE",<,1,ng/L
J01-9224-1 (J01P24),Total,"2,4'-DDE",<,1,ng/L
J01-9224-2 (J01P25),Total,"2,4'-DDE",<,1,ng/L
L03-662-3 (L03P16),Total,"2,4'-DDE",<,1,ng/L
L03-214-2 (L03P18),Total,"2,4'-DDE",<,1,ng/L
L03-316-3 (L03P12),Total,"2,4'-DDE",<,1,ng/L
J01-9992-1 (J01P27),Total,"2,4'-DDE",<,1,ng/L
J01-9131-1 (J01P28),Total,"2,4'-DDE",<,1,ng/L
J01-9007-1 (J02P05),Total,"2,4'-DDE",<,1,ng/L
J06-10011-1 (J06P01),Total,"2,4'-DDE",<,1,ng/L
J06-9079-1 (J06P03),Total,"2,4'-DDE",<,1,ng/L
J01-9082-2,Total,"2,4'-DDE",<,1,ng/L
I01-11010-1,Total,"2,4'-DDE",<,1,ng/L
I00-11468-1,Total,"2,4'-DDE",<,1,ng/L
J01-10004-1 (J01P01),Total,"2,4'-DDE",<,1,ng/L
L01-749-2,Total,"2,4'-DDE",<,1,ng/L
L05-503-1,Total,"2,4'-DDE",<,1,ng/L
L01-724-4 (L01P03),Total,"2,4'-DDE",<,1,ng/L
L01-724-1 (L01S01),Total,"2,4'-DDE",<,1,ng/L
L01-728-5 (L01-DP),Total,"2,4'-DDE",<,1,ng/L
K01-12126-1 (K01S01),Total,"2,4'-DDE",<,1,ng/L
K01-12159-2,Total,"2,4'-DDE",<,1,ng/L
K01-12159-3,Total,"2,4'-DDE",<,1,ng/L
L05-489-3,Total,"2,4'-DDE",<,1,ng/L
L05-049-1,Total,"2,4'-DDE",<,1,ng/L
L02-374-1 (L02P50),Total,"2,4'-DDE",<,1,ng/L
L01-404-1,Total,"2,4'-DDE",<,1,ng/L
