FACILITYID,avgCnx
L05-489-3d,0.5
M01-038-6,0.5
L04-136-1u (L04P07),0.5
L01-335-2,0.25
SC10-075-3 (M00S01),0.77
SC09-081-2d,0.77
M01-168-1d (M00P03),0.77
M01-168-2d (M00P03),0.77
K01-12156-6,0.5
L01-728-8d,0
SC11-035-1d,0.77
SC11-035-2d,0.25
I01-11195-2,0.77
M01-050-7,0.25
J03-9216-5,0.5
L01-399-1,0.77
L01-399-2,0.77
LC01-11480-1,0.77
SC11-035-3d,0
L01-242-1 (L07P16),0.5
I01-11503-5,0.5
L01-733-7,0.5
