Station,Sample Type,Parameter,Qualifier,ResultAvg,Units,JURISDICTI3,Qadj_Qall,LoadQadj_Qall,LoadsPoundsQS,LoadsJurs
L01-404-1,Total,d8-Naphthalene,NA,38.5,ng/L,ORANGE CO,765057.1882060798,29454701.74593407,0.0018387954337802821,0.11466813911697563
L01-340-1,Total,d8-Naphthalene,NA,50.5,ng/L,ORANGE CO,106950.06735932868,5400978.401646098,3.371717869885982e-4,0.11466813911697563
L01-340-1,Total,d8-Naphthalene,NA,50.5,ng/L,RANCHO SANTA MARGARITA,1313.8942256581051,66351.65839573431,4.142195277827495e-6,0.0640847344895101
L02-246-1 (L11P01),Total,d8-Naphthalene,NA,55,ng/L,RANCHO SANTA MARGARITA,1257301.4399999997,69151579.19999999,0.004316988478391505,0.0640847344895101
L02-641-1,Total,d8-Naphthalene,NA,61.5,ng/L,ORANGE CO,4986.284926966567,306656.5230084438,1.9143925445610816e-5,0.11466813911697563
L02-641-1,Total,d8-Naphthalene,NA,61.5,ng/L,RANCHO SANTA MARGARITA,843182.469984656,51855721.90405634,0.003237244276823186,0.0640847344895101
L02-641-2,Total,d8-Naphthalene,NA,66,ng/L,ORANGE CO,20483.18968395988,1351890.5191413523,8.439569801147693e-5,0.11466813911697563
L02-641-2,Total,d8-Naphthalene,NA,66,ng/L,RANCHO SANTA MARGARITA,3463714.3131314125,228605144.6666732,0.014271341118223538,0.0640847344895101
L01-731-1 (L08TBN2),Total,d8-Naphthalene,NA,56.5,ng/L,ORANGE CO,723305.629006651,40866768.03887578,0.002551226867324022,0.11466813911697563
L01-731-1 (L08TBN2),Total,d8-Naphthalene,NA,56.5,ng/L,RANCHO SANTA MARGARITA,11606237.02728475,655752392.0415884,0.04093725051359647,0.0640847344895101
L02-166-3 (L02P26),Total,d8-Naphthalene,NA,52.5,ng/L,ORANGE CO,1759.6301883248925,92380.58488705686,5.767126726507107e-6,0.11466813911697563
L02-166-3 (L02P26),Total,d8-Naphthalene,NA,52.5,ng/L,RANCHO SANTA MARGARITA,311594.45914611226,16358709.105170894,0.0010212399998000476,0.0640847344895101
L04-672-1,Total,d8-Naphthalene,NA,62,ng/L,MISSION VIEJO,665335.962144,41250829.652928,0.002575203030732534,0.03242084854013772
M01-042-1 (M01S01),Total,d8-Naphthalene,NA,73.5,ng/L,SAN CLEMENTE,9329.904,685747.944,4.280981009510573e-5,0.01708664379161462
M02-032-1,Total,d8-Naphthalene,NA,63,ng/L,SAN CLEMENTE,3628866.1607999997,228618568.13039997,0.014272179116992606,0.01708664379161462
M02-085-1 (M02P06),Total,d8-Naphthalene,NA,72.5,ng/L,ORANGE CO,174.54166027466977,12654.270369913558,7.899796363488955e-7,0.11466813911697563
M02-085-1 (M02P06),Total,d8-Naphthalene,NA,72.5,ng/L,SAN CLEMENTE,251732.86631957273,18250632.808169022,0.0011393488401522968,0.01708664379161462
M02-085-2,Total,d8-Naphthalene,NA,47.5,ng/L,SAN CLEMENTE,550464.336,26147055.96,0.0016323060243746098,0.01708664379161462
L01-726-5,Total,d8-Naphthalene,NA,62,ng/L,DANA POINT,111410.6356577293,6907459.410779217,4.3121824600776237e-4,0.020465789386379284
L01-726-5,Total,d8-Naphthalene,NA,62,ng/L,SAN JUAN CAPISTRANO,7448.763165562618,461823.31626488233,2.8830663860935425e-5,0.011815535414970567
L04-266-5,Total,PCB030,NA,69.5,ng/L,MISSION VIEJO,4000029.057504,278002019.496528,0.01735508471419091,0.04071487042609705
I01-11343-2 (I02P18),Total,PCB030,NA,55.5,ng/L,LAGUNA WOODS,26583.60972323406,1475390.3396394905,9.210553354006139e-5,0.007731263827144745
L03-418-8,Total,PCB030,NA,72.5,ng/L,LAGUNA NIGUEL,188453.84949148304,13662904.08813252,8.529465301037737e-4,0.050195428300562187
L03-418-8,Total,PCB030,NA,72.5,ng/L,MISSION VIEJO,1719639.2671055028,124673846.86514895,0.0077831275395312295,0.04071487042609705
K01-12177-1 (K01P07),Total,PCB030,NA,73.5,ng/L,LAGUNA NIGUEL,1099058.44356,80780795.60166,0.005042976139114194,0.050195428300562187
J03-9221-1 (J03P02),Total,PCB030,NA,78,ng/L,LAGUNA NIGUEL,2363508.1934956796,184353639.09266302,0.011508812164806963,0.050195428300562187
J01-9224-1 (J01P24),Total,PCB030,NA,77,ng/L,ALISO VIEJO,2634.1015151823053,202825.8166690375,1.2661991581539801e-5,0.019608883457268366
J01-9224-1 (J01P24),Total,PCB030,NA,77,ng/L,LAGUNA NIGUEL,158150.60433060143,12177596.53345631,7.602218855680339e-4,0.050195428300562187
J01-9224-2 (J01P25),Total,PCB030,NA,70,ng/L,ALISO VIEJO,5993.861828325905,419570.32798281335,2.6192898162718325e-5,0.019608883457268366
J01-9224-2 (J01P25),Total,PCB030,NA,70,ng/L,LAGUNA NIGUEL,359869.5285508992,25190866.998562943,0.0015726131471121782,0.050195428300562187
L03-662-3 (L03P16),Total,PCB030,NA,70,ng/L,MISSION VIEJO,257898.81600000005,18052917.120000005,0.0011270058632066177,0.04071487042609705
L03-214-2 (L03P18),Total,PCB030,NA,62.5,ng/L,MISSION VIEJO,1863878.8123590364,116492425.77243978,0.007272378529852869,0.04071487042609705
