JURISDICTI3,Sample Type,Parameter,LoadsJurs,LoadsPoundsQUns,TotalLoadPounds
MISSION VIEJO,Total,Phosphorus as PO4,693.7624943,1411.82788,2105.590375
MISSION VIEJO,Total,TSS,2650.318562,6910.302125,9560.620687
MISSION VIEJO,Total,Enterococcus,1.54E+13,4.09E+13,5.63E+13
MISSION VIEJO,Total,Fecal coliforms,8.20E+12,1.98E+13,2.80E+13
RANCHO SANTA MARGARITA,Total,"Cadmium, Total",0.252377826,1.166713491,1.42
RANCHO SANTA MARGARITA,Dissolved,"Cadmium, Total",0.159262521,1.166713491,1.33
RANCHO SANTA MARGARITA,Total,"Chromium, Total",0.503603392,0.162396617,0.67
RANCHO SANTA MARGARITA,Dissolved,"Chromium, Total",0.179647099,0.162396617,0.34
RANCHO SANTA MARGARITA,Total,"Copper, Total",5.119427672,2.551707914,7.7
RANCHO SANTA MARGARITA,Dissolved,"Copper, Total",4.279858538,2.551707914,6.83
RANCHO SANTA MARGARITA,Total,"Iron, Total",512.9933862,53.48551813,566.5
RANCHO SANTA MARGARITA,Dissolved,"Iron, Total",60.19240506,53.48551813,114
RANCHO SANTA MARGARITA,Total,"Lead, Total",0.109699116,0.053518967,0.16
RANCHO SANTA MARGARITA,Dissolved,"Lead, Total",0.109699116,0.053518967,0.16
RANCHO SANTA MARGARITA,Total,"Manganese, Total",772.0686097,64.71972282,836.8
RANCHO SANTA MARGARITA,Dissolved,"Manganese, Total",163.4735252,64.71972282,228
RANCHO SANTA MARGARITA,Total,MBAS,104.730652,35.96474615,140.7
RANCHO SANTA MARGARITA,Total,"Nickel, Total",3.843831506,4.478692542,8.3
RANCHO SANTA MARGARITA,Dissolved,"Nickel, Total",3.922936614,4.478692542,8.4
RANCHO SANTA MARGARITA,Total,"Silver, Total",0.109699116,0.053518967,0.16
RANCHO SANTA MARGARITA,Dissolved,"Silver, Total",0.109699116,0.053518967,0.16
RANCHO SANTA MARGARITA,Total,"Zinc, Total",19.80831632,5.581263752,25
RANCHO SANTA MARGARITA,Dissolved,"Zinc, Total",11.34674694,5.581263752,17
RANCHO SANTA MARGARITA,Total,Nitrate + Nitrite as N,1851.728521,706.0680925,2557.8
RANCHO SANTA MARGARITA,Total,"Nitrogen, Total Kjeldahl",1846.795484,834.1313361,2680.9
RANCHO SANTA MARGARITA,Total,Phosphorus as PO4,1928.591472,643.3744448,2572.0
RANCHO SANTA MARGARITA,Total,TSS,5362.395084,1179.849965,6542.2
RANCHO SANTA MARGARITA,Total,Enterococcus,3.97E+13,2.58E+13,65533500000000.0
RANCHO SANTA MARGARITA,Total,Fecal coliforms,6.55E+13,2.19E+13,87385100000000.0
SAN CLEMENTE,Total,"Cadmium, Total",0.979023605,48.09047651,49.1
SAN CLEMENTE,Dissolved,"Cadmium, Total",0.956113015,48.09047651,49.05
SAN CLEMENTE,Total,"Chromium, Total",0.179718688,0.448804936,0.63
SAN CLEMENTE,Dissolved,"Chromium, Total",0.094857122,0.448804936,0.54
SAN CLEMENTE,Total,"Copper, Total",1.024274472,3.297927645,4.3
SAN CLEMENTE,Dissolved,"Copper, Total",0.827371365,3.297927645,4.13
SAN CLEMENTE,Total,"Iron, Total",83.67233547,62.24108212,145.9
SAN CLEMENTE,Dissolved,"Iron, Total",11.60677415,62.24108212,74
SAN CLEMENTE,Total,"Lead, Total",0.027720447,0.076473685,0.10
SAN CLEMENTE,Dissolved,"Lead, Total",0.027720447,0.076473685,0.10
SAN CLEMENTE,Total,"Manganese, Total",97.32111734,3981.482894,4078.8
SAN CLEMENTE,Dissolved,"Manganese, Total",80.75492582,3981.482894,4062
SAN CLEMENTE,Total,MBAS,20.09266767,42.36642122,62.5
SAN CLEMENTE,Total,"Nickel, Total",10.27283608,375.4810114,386
SAN CLEMENTE,Dissolved,"Nickel, Total",10.62790051,375.4810114,386
SAN CLEMENTE,Total,"Silver, Total",0.027720447,0.076473685,0.10
SAN CLEMENTE,Dissolved,"Silver, Total",0.027720447,0.076473685,0.10
SAN CLEMENTE,Total,"Zinc, Total",5.493307714,87.24952188,93
SAN CLEMENTE,Dissolved,"Zinc, Total",5.787374003,87.24952188,93
SAN CLEMENTE,Total,Nitrate + Nitrite as N,858.9712515,5917.15134,6776.1
SAN CLEMENTE,Total,"Nitrogen, Total Kjeldahl",600.1195327,1892.723692,2492.8
SAN CLEMENTE,Total,Phosphorus as PO4,437.2520184,754.0305294,1191.3
SAN CLEMENTE,Total,TSS,782.8447844,2783.642116,3566.5
SAN CLEMENTE,Total,Enterococcus,1.47E+13,2.05E+13,35181300000000.0
SAN CLEMENTE,Total,Fecal coliforms,1.09E+13,2.13E+13,32201700000000.0
SAN JUAN CAPISTRANO,Total,"Cadmium, Total",0.016286058,0.016309102,0.0
SAN JUAN CAPISTRANO,Dissolved,"Cadmium, Total",0.016286058,0.016309102,0.03
SAN JUAN CAPISTRANO,Total,"Chromium, Total",0.079254238,0.071895956,0.15
SAN JUAN CAPISTRANO,Dissolved,"Chromium, Total",0.067979299,0.071895956,0.14
SAN JUAN CAPISTRANO,Total,"Copper, Total",0.90245915,0.967333589,1.9
SAN JUAN CAPISTRANO,Dissolved,"Copper, Total",0.716849815,0.967333589,1.68
SAN JUAN CAPISTRANO,Total,"Iron, Total",28.12538411,26.04563525,54
SAN JUAN CAPISTRANO,Dissolved,"Iron, Total",5.813983854,26.04563525,32
SAN JUAN CAPISTRANO,Total,"Lead, Total",0.016453462,0.023648197,0.04
SAN JUAN CAPISTRANO,Dissolved,"Lead, Total",0.016286058,0.023648197,0.04
SAN JUAN CAPISTRANO,Total,"Manganese, Total",6.407179903,4.917194132,11
SAN JUAN CAPISTRANO,Dissolved,"Manganese, Total",4.484384883,4.917194132,9.4
SAN JUAN CAPISTRANO,Total,MBAS,14.5418795,8.820505781,23.36
SAN JUAN CAPISTRANO,Total,"Nickel, Total",0.505240402,0.569799237,1.08
SAN JUAN CAPISTRANO,Dissolved,"Nickel, Total",0.476891144,0.569799237,1.0
SAN JUAN CAPISTRANO,Total,"Silver, Total",0.016286058,0.016309102,0.03
SAN JUAN CAPISTRANO,Dissolved,"Silver, Total",0.016286058,0.016309102,0.03
SAN JUAN CAPISTRANO,Total,"Zinc, Total",1.639136959,1.345500882,3.0
SAN JUAN CAPISTRANO,Dissolved,"Zinc, Total",1.493766864,1.345500882,2.84
SAN JUAN CAPISTRANO,Total,Nitrate + Nitrite as N,439.8051741,325.7743044,765.5794785
SAN JUAN CAPISTRANO,Total,"Nitrogen, Total Kjeldahl",214.7563088,256.8683502,471.624659
SAN JUAN CAPISTRANO,Total,Phosphorus as PO4,203.6746068,258.2953966,461.9700034
SAN JUAN CAPISTRANO,Total,TSS,506.9282179,1600.330594,2107.258812
SAN JUAN CAPISTRANO,Total,Enterococcus,7.54E+12,3.51E+12,1.10E+13
SAN JUAN CAPISTRANO,Total,Fecal coliforms,8.96E+12,3.03E+12,1.20E+13
Unincorporated,Total,"Cadmium, Total",1.963040466,11.05396957,13.02
Unincorporated,Dissolved,"Cadmium, Total",1.948879038,11.05396957,13.00
Unincorporated,Total,"Chromium, Total",0.98693562,1.348135978,2.3
Unincorporated,Dissolved,"Chromium, Total",0.797795798,1.348135978,2.15
Unincorporated,Total,"Copper, Total",6.30328304,11.76797486,18
Unincorporated,Dissolved,"Copper, Total",4.30107699,11.76797486,16.07
Unincorporated,Total,"Iron, Total",449.505149,232.6566879,682
Unincorporated,Dissolved,"Iron, Total",87.8451664,232.6566879,321
Unincorporated,Total,"Lead, Total",0.251458827,0.3111457,0.56
Unincorporated,Dissolved,"Lead, Total",0.251458827,0.3111457,0.56
Unincorporated,Total,"Manganese, Total",245.1481148,943.8771492,1189
Unincorporated,Dissolved,"Manganese, Total",133.9352168,943.8771492,1078
Unincorporated,Total,MBAS,165.0377079,172.3583417,337.4
Unincorporated,Total,"Nickel, Total",34.11929152,90.88911612,125
Unincorporated,Dissolved,"Nickel, Total",32.43217277,90.88911612,123
Unincorporated,Total,"Silver, Total",0.251458827,0.3111457,0.56
Unincorporated,Dissolved,"Silver, Total",0.251458827,0.3111457,0.56
Unincorporated,Total,"Zinc, Total",24.09546881,38.89321249,63
Unincorporated,Dissolved,"Zinc, Total",26.33546669,38.89321249,65
Unincorporated,Total,Nitrate + Nitrite as N,4959.11078,9725.525591,14684.63637
Unincorporated,Total,"Nitrogen, Total Kjeldahl",11264.99913,6864.096387,18129.09551
Unincorporated,Total,Phosphorus as PO4,2275.600528,3324.81405,5600.414578
Unincorporated,Total,TSS,33599.04173,8744.831776,42343.87351
Unincorporated,Total,Enterococcus,2.97E+13,7.20E+13,1.02E+14
Unincorporated,Total,Fecal coliforms,3.91E+12,8.13E+13,8.52E+13
ALISO VIEJO,,Total N,,,"58,537"
DANA POINT,,Total N,,,"2,903"
LAGUNA BEACH,,Total N,,,131
LAGUNA HILLS,,Total N,,,"3,945"
LAGUNA NIGUEL,,Total N,,,"24,363"
LAGUNA WOODS,,Total N,,,189
LAKE FOREST,,Total N,,,"3,888"
MISSION VIEJO,,Total N,,,"6,879"
RANCHO SANTA MARGARITA,,Total N,,,"5,239"
SAN CLEMENTE,,Total N,,,"9,269"
SAN JUAN CAPISTRANO,,Total N,,,"1,237"
Unincorporated,,Total N,,,"32,814"
ALISO VIEJO,Total,Total P,,,"2,331"
DANA POINT,Total,Total P,,,335
LAGUNA BEACH,Total,Total P,,,19
LAGUNA HILLS,Total,Total P,,,176
LAGUNA NIGUEL,Total,Total P,,,"2,075"
LAGUNA WOODS,Total,Total P,,,11
LAKE FOREST,Total,Total P,,,280
MISSION VIEJO,Total,Total P,,,687
RANCHO SANTA MARGARITA,Total,Total P,,,839
SAN CLEMENTE,Total,Total P,,,389
SAN JUAN CAPISTRANO,Total,Total P,,,151
Unincorporated,Total,Total P,,,"1,828"
