FacilityID,JURISDICTI3,Qadj_Qall,avgCnx,DischargeJ_cf,DischargeJ_af,JURISDICTI,AnnualCF,QJur_US,QJur_S
L03-074-2,MISSION VIEJO,120284.00778239997,0.77,29837016.65099346,684.9636513083898,MISSION VIEJO,156212.99711999996,NA,NA
L03-172-2,MISSION VIEJO,151989.93798912,0.77,29837016.65099346,684.9636513083898,MISSION VIEJO,197389.52985599998,NA,NA
L04-301-1 (L04P08),MISSION VIEJO,718842.491136,0.77,29837016.65099346,684.9636513083898,MISSION VIEJO,933561.6768,20435540.922064316,NA
M02-086-1,SAN CLEMENTE,0,0.385,19982422.455257487,458.73329787092484,SAN CLEMENTE,0,NA,NA
SC11-130-2,DANA POINT,238439.21831999999,0.635,13188470.493113145,302.7656219722944,DANA POINT,375494.832,8623499.22388465,NA
DP01-12022-2,DANA POINT,0,0,13188470.493113145,302.7656219722944,DANA POINT,0,8623499.22388465,NA
DP06-12106-1,DANA POINT,427893.83999999997,0.25,13188470.493113145,302.7656219722944,DANA POINT,1711575.3599999999,8623499.22388465,NA
I00-11453-1,LAGUNA BEACH,0,0,3197852.585558988,73.41259379152865,LAGUNA BEACH,0,1879478.3242043818,NA
I00-11518-1,LAGUNA BEACH,0,0,3197852.585558988,73.41259379152865,LAGUNA BEACH,0,1879478.3242043818,NA
I00-11518-1,ORANGE CO,0,0,54406355.72231314,1248.9980652505315,LAGUNA BEACH,0,49840801.3300099,NA
I01-11015-2,LAGUNA BEACH,0,0,3197852.585558988,73.41259379152865,LAGUNA BEACH,0,1879478.3242043818,NA
I01-11015-2,ORANGE CO,0,0,54406355.72231314,1248.9980652505315,LAGUNA BEACH,0,49840801.3300099,NA
I01-11015-3,LAGUNA BEACH,0,0,3197852.585558988,73.41259379152865,LAGUNA BEACH,0,1879478.3242043818,NA
I01-11023-2,LAGUNA BEACH,0,0,3197852.585558988,73.41259379152865,LAGUNA BEACH,0,1879478.3242043818,NA
I01-11023-3,LAGUNA BEACH,0,0,3197852.585558988,73.41259379152865,LAGUNA BEACH,0,1879478.3242043818,NA
I01-11023-3,ORANGE CO,0,0,54406355.72231314,1248.9980652505315,LAGUNA BEACH,0,49840801.3300099,NA
I01-11023-4,LAGUNA BEACH,0,0,3197852.585558988,73.41259379152865,LAGUNA BEACH,0,1879478.3242043818,NA
I01-11023-5,LAGUNA BEACH,0,0,3197852.585558988,73.41259379152865,LAGUNA BEACH,0,1879478.3242043818,NA
I01-11023-5,ORANGE CO,0,0,54406355.72231314,1248.9980652505315,LAGUNA BEACH,0,49840801.3300099,NA
I01-11059-1,LAGUNA BEACH,0,0,3197852.585558988,73.41259379152865,LAGUNA BEACH,0,1879478.3242043818,NA
I01-11059-2,LAGUNA BEACH,0,0,3197852.585558988,73.41259379152865,LAGUNA BEACH,0,1879478.3242043818,NA
I01-11059-3,LAGUNA BEACH,0,0,3197852.585558988,73.41259379152865,LAGUNA BEACH,0,1879478.3242043818,NA
I01-11065-1,LAGUNA BEACH,0,0,3197852.585558988,73.41259379152865,LAGUNA BEACH,0,1879478.3242043818,NA
I01-11077-1,LAGUNA BEACH,0,0,3197852.585558988,73.41259379152865,LAGUNA BEACH,0,1879478.3242043818,NA
I01-11077-1,ORANGE CO,0,0,54406355.72231314,1248.9980652505315,LAGUNA BEACH,0,49840801.3300099,NA
I01-11077-2,LAGUNA BEACH,0,0,3197852.585558988,73.41259379152865,LAGUNA BEACH,0,1879478.3242043818,NA
I01-11093-1,LAGUNA BEACH,0,0,3197852.585558988,73.41259379152865,LAGUNA BEACH,0,1879478.3242043818,NA
I01-11093-1,ORANGE CO,0,0,54406355.72231314,1248.9980652505315,LAGUNA BEACH,0,49840801.3300099,NA
I01-11093-2,LAGUNA BEACH,0,0,3197852.585558988,73.41259379152865,LAGUNA BEACH,0,1879478.3242043818,NA
I01-11093-2,ORANGE CO,0,0,54406355.72231314,1248.9980652505315,LAGUNA BEACH,0,49840801.3300099,NA
I01-11217-1,ALISO VIEJO,0,0,116347522.37064542,2670.9715879395185,ALISO VIEJO,0,NA,NA
