JURISDICTI3,Sample Type,Parameter,Units,LoadsPoundsQUns,LoadQUns_j
LAGUNA BEACH,Total,Dichlorvos,ng/L,3.519957041404873e-4,3.519957041404873e-4
LAGUNA BEACH,Total,Dieldrin,ng/L,1.1733190138016244e-4,1.1733190138016244e-4
LAGUNA BEACH,Total,Dimethoate,ng/L,5.866595069008121e-4,5.866595069008121e-4
LAGUNA BEACH,Total,Disulfoton,ng/L,1.1733190138016244e-4,1.1733190138016244e-4
LAGUNA BEACH,Total,Endosulfan-I,ng/L,2.9332975345040607e-4,2.9332975345040607e-4
LAGUNA BEACH,Total,Endosulfan-II,ng/L,2.9332975345040607e-4,2.9332975345040607e-4
LAGUNA BEACH,Total,Endosulfan Sulfate,ng/L,2.9332975345040607e-4,2.9332975345040607e-4
LAGUNA BEACH,Total,Endrin,ng/L,2.9332975345040607e-4,2.9332975345040607e-4
LAGUNA BEACH,Total,Endrin Aldehyde,ng/L,2.9332975345040607e-4,2.9332975345040607e-4
LAGUNA BEACH,Total,Ethoprop (Ethoprofos),ng/L,1.1733190138016244e-4,1.1733190138016244e-4
LAGUNA BEACH,Total,Fenchlorphos (Ronnel),ng/L,2.3466380276032487e-4,2.3466380276032487e-4
LAGUNA BEACH,Total,Fensulfothion,ng/L,1.1733190138016244e-4,1.1733190138016244e-4
LAGUNA BEACH,Total,Fenthion,ng/L,2.3466380276032487e-4,2.3466380276032487e-4
LAGUNA BEACH,Total,Fluoranthene,ng/L,2.9332975345040607e-4,2.9332975345040607e-4
LAGUNA BEACH,Total,Fluorene,ng/L,2.9332975345040607e-4,2.9332975345040607e-4
LAGUNA BEACH,Total,Heptachlor,ng/L,2.9332975345040607e-4,2.9332975345040607e-4
LAGUNA BEACH,Total,Heptachlor Epoxide,ng/L,2.9332975345040607e-4,2.9332975345040607e-4
LAGUNA BEACH,Total,"Indeno[1,2,3-cd]pyrene",ng/L,2.9332975345040607e-4,2.9332975345040607e-4
LAGUNA BEACH,Total,Malathion,ng/L,2.9332975345040607e-4,2.9332975345040607e-4
LAGUNA BEACH,Total,Merphos,ng/L,1.1733190138016244e-4,1.1733190138016244e-4
LAGUNA BEACH,Total,Methoxychlor,ng/L,2.9332975345040607e-4,2.9332975345040607e-4
LAGUNA BEACH,Total,Methyl Parathion,ng/L,1.1733190138016244e-4,1.1733190138016244e-4
LAGUNA BEACH,Total,Mevinphos (Phosdrin),ng/L,5.866595069008121e-4,5.866595069008121e-4
LAGUNA BEACH,Total,Mirex,ng/L,2.9332975345040607e-4,2.9332975345040607e-4
LAGUNA BEACH,Total,Phenanthrene,ng/L,7.544441258744445e-4,7.544441258744445e-4
LAGUNA BEACH,Total,Phorate,ng/L,5.866595069008121e-4,5.866595069008121e-4
LAGUNA BEACH,Total,Pyrene,ng/L,2.9332975345040607e-4,2.9332975345040607e-4
